"","ï..REF_DATE","GEO","Sex","Selected.sites.of.cancer..ICD.O.3.","Cancer incidence (age-standardized rate per 100,000 population)"
"20","2001/2003","East Kootenay Health Service Delivery Area, British Columbia","Both sexes","All invasive primary cancer sites (including in situ bladder)",442.7
"21","2001/2003","Eastern Ontario Health Unit, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",512.9
"22","2001/2003","Eastern Regional Integrated Health Authority, Newfoundland and Labrador","Both sexes","All invasive primary cancer sites (including in situ bladder)",503
"23","2001/2003","Edmonton Zone, Alberta","Both sexes","All invasive primary cancer sites (including in situ bladder)",543.1
"24","2001/2003","Elgin-St. Thomas Health Unit, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",492.2
"25","2001/2003","Erie St. Clair Health Integration Network, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",524.8
"26","2001/2003","Five Hills Regional Health Authority, Saskatchewan","Both sexes","All invasive primary cancer sites (including in situ bladder)",539.6
"27","2001/2003","Fraser East Health Service Delivery Area, British Columbia","Both sexes","All invasive primary cancer sites (including in situ bladder)",494.7
"28","2001/2003","Fraser North Health Service Delivery Area, British Columbia","Both sexes","All invasive primary cancer sites (including in situ bladder)",496
"29","2001/2003","Fraser South Health Service Delivery Area, British Columbia","Both sexes","All invasive primary cancer sites (including in situ bladder)",491.8
"30","2001/2003","Grey Bruce Health Unit, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",505.8
"31","2001/2003","Haldimand-Norfolk Health Unit, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",517.7
"32","2001/2003","Haliburton, Kawartha, Pine Ridge District Health Unit, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",510.6
"33","2001/2003","Halton Regional Health Unit, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",500.7
"34","2001/2003","Hamilton Niagara Haldimand Brant Health Integration Network, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",508.3
"35","2001/2003","Hastings and Prince Edward Counties Health Unit, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",514.4
"36","2001/2003","Heartland Regional Health Authority, Saskatchewan","Both sexes","All invasive primary cancer sites (including in situ bladder)",607.1
"37","2001/2003","Huron County Health Unit, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",570.6
"38","2001/2003","Interlake-Eastern Regional Health Authority, Manitoba","Both sexes","All invasive primary cancer sites (including in situ bladder)",580.3
"39","2001/2003","Kelsey Trail Regional Health Authority, Saskatchewan","Both sexes","All invasive primary cancer sites (including in situ bladder)",482.9
"40","2001/2003","Kingston, Frontenac and Lennox and Addington Health Unit, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",514.6
"41","2001/2003","Kootenay-Boundary Health Service Delivery Area, British Columbia","Both sexes","All invasive primary cancer sites (including in situ bladder)",538.1
"42","2001/2003","Labrador-Grenfell Regional Integrated Health Authority, Newfoundland and Labrador","Both sexes","All invasive primary cancer sites (including in situ bladder)",299.8
"43","2001/2003","Lambton Health Unit, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",533.8
"44","2001/2003","Leeds, Grenville and Lanark District Health Unit, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",537.7
"45","2001/2003","Mamawetan/Keewatin/Athabasca, Saskatchewan","Both sexes","All invasive primary cancer sites (including in situ bladder)",511.9
"46","2001/2003","Manitoba","Both sexes","All invasive primary cancer sites (including in situ bladder)",538.2
"47","2001/2003","Middlesex-London Health Unit, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",537.8
"48","2001/2003","Mississauga Halton Health Integration Network, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",504.5
"49","2001/2003","New Brunswick","Both sexes","All invasive primary cancer sites (including in situ bladder)",538.6
"50","2001/2003","Newfoundland and Labrador","Both sexes","All invasive primary cancer sites (including in situ bladder)",459.3
"51","2001/2003","Niagara Regional Area Health Unit, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",494.9
"52","2001/2003","North Bay Parry Sound District Health Unit, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",560
"53","2001/2003","North East Health Integration Network, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",554.2
"54","2001/2003","North Shore/Coast Garibaldi Health Service Delivery Area, British Columbia","Both sexes","All invasive primary cancer sites (including in situ bladder)",497.3
"55","2001/2003","North Simcoe Muskoka Health Integration Network, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",547
"56","2001/2003","North Vancouver Island Health Service Delivery Area, British Columbia","Both sexes","All invasive primary cancer sites (including in situ bladder)",569.8
"57","2001/2003","North West Health Integration Network, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",535.7
"58","2001/2003","North Zone, Alberta","Both sexes","All invasive primary cancer sites (including in situ bladder)",537.2
"59","2001/2003","Northeast Health Service Delivery Area, British Columbia","Both sexes","All invasive primary cancer sites (including in situ bladder)",449.3
"60","2001/2003","Northern Interior Health Service Delivery Area, British Columbia","Both sexes","All invasive primary cancer sites (including in situ bladder)",522.4
"61","2001/2003","Northern Regional Health Authority, Manitoba","Both sexes","All invasive primary cancer sites (including in situ bladder)",575.5
"62","2001/2003","Northwest Health Service Delivery Area, British Columbia","Both sexes","All invasive primary cancer sites (including in situ bladder)",523.3
"63","2001/2003","Northwest Territories","Both sexes","All invasive primary cancer sites (including in situ bladder)",569.5
"64","2001/2003","Northwestern Health Unit, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",475.6
"65","2001/2003","Nova Scotia","Both sexes","All invasive primary cancer sites (including in situ bladder)",576.3
"66","2001/2003","Nunavut","Both sexes","All invasive primary cancer sites (including in situ bladder)",819.3
"67","2001/2003","Okanagan Health Service Delivery Area, British Columbia","Both sexes","All invasive primary cancer sites (including in situ bladder)",489.2
"68","2001/2003","Ontario by Local Health Integration Network","Both sexes","All invasive primary cancer sites (including in situ bladder)",498.7
"69","2001/2003","Oxford County Health Unit, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",542.4
"70","2001/2003","Peel Regional Health Unit, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",438.7
"71","2001/2003","Peer group A","Both sexes","All invasive primary cancer sites (including in situ bladder)",527.4
"72","2001/2003","Peer group A excluding Quebec","Both sexes","All invasive primary cancer sites (including in situ bladder)",520.9
"73","2001/2003","Peer group B","Both sexes","All invasive primary cancer sites (including in situ bladder)",531.6
"74","2001/2003","Peer group B excluding Quebec","Both sexes","All invasive primary cancer sites (including in situ bladder)",524
"75","2001/2003","Peer group C","Both sexes","All invasive primary cancer sites (including in situ bladder)",539
"76","2001/2003","Peer group C excluding Quebec","Both sexes","All invasive primary cancer sites (including in situ bladder)",532.1
"77","2001/2003","Peer group D","Both sexes","All invasive primary cancer sites (including in situ bladder)",532.6
"78","2001/2003","Peer group D excluding Quebec","Both sexes","All invasive primary cancer sites (including in situ bladder)",532.2
"79","2001/2003","Peer group E","Both sexes","All invasive primary cancer sites (including in situ bladder)",523
"80","2001/2003","Peer group E excluding Quebec","Both sexes","All invasive primary cancer sites (including in situ bladder)",515.4
"81","2001/2003","Peer group F excluding Quebec","Both sexes","All invasive primary cancer sites (including in situ bladder)",464.7
"82","2001/2003","Peer group G excluding Quebec","Both sexes","All invasive primary cancer sites (including in situ bladder)",466.1
"83","2001/2003","Peer group H","Both sexes","All invasive primary cancer sites (including in situ bladder)",466.8
"84","2001/2003","Perth District Health Unit, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",509.3
"85","2001/2003","Peterborough County-City Health Unit, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",529.4
"86","2001/2003","Porcupine Health Unit, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",543.7
"87","2001/2003","Prairie Mountain Health, Manitoba","Both sexes","All invasive primary cancer sites (including in situ bladder)",549.1
"88","2001/2003","Prairie North Regional Health Authority, Saskatchewan","Both sexes","All invasive primary cancer sites (including in situ bladder)",485.8
"89","2001/2003","Prince Albert Parkland Regional Health Authority, Saskatchewan","Both sexes","All invasive primary cancer sites (including in situ bladder)",477.8
"90","2001/2003","Prince Edward Island","Both sexes","All invasive primary cancer sites (including in situ bladder)",579.9
"91","2001/2003","Quebec","Both sexes","All invasive primary cancer sites (including in situ bladder)",547.8
"92","2001/2003","RÃ©gion de l'Abitibi-TÃ©miscamingue, Quebec","Both sexes","All invasive primary cancer sites (including in situ bladder)",580.2
"93","2001/2003","RÃ©gion de l'Estrie, Quebec","Both sexes","All invasive primary cancer sites (including in situ bladder)",539.9
"94","2001/2003","RÃ©gion de l'Outaouais, Quebec","Both sexes","All invasive primary cancer sites (including in situ bladder)",528.3
"95","2001/2003","RÃ©gion de la CÃ´te-Nord, Quebec","Both sexes","All invasive primary cancer sites (including in situ bladder)",592.8
"96","2001/2003","RÃ©gion de la Capitale-Nationale, Quebec","Both sexes","All invasive primary cancer sites (including in situ bladder)",562.1
"97","2001/2003","RÃ©gion de la ChaudiÃ¨re-Appalaches, Quebec","Both sexes","All invasive primary cancer sites (including in situ bladder)",541.4
"98","2001/2003","RÃ©gion de la GaspÃ©sie - ÃŽles-de-la-Madeleine, Quebec","Both sexes","All invasive primary cancer sites (including in situ bladder)",601.4
"99","2001/2003","RÃ©gion de la Mauricie et du Centre-du-QuÃ©bec, Quebec","Both sexes","All invasive primary cancer sites (including in situ bladder)",545.4
"100","2001/2003","RÃ©gion de la MontÃ©rÃ©gie, Quebec","Both sexes","All invasive primary cancer sites (including in situ bladder)",545.9
"101","2001/2003","RÃ©gion de LanaudiÃ¨re, Quebec","Both sexes","All invasive primary cancer sites (including in situ bladder)",584
"102","2001/2003","RÃ©gion de Laval, Quebec","Both sexes","All invasive primary cancer sites (including in situ bladder)",545.7
"103","2001/2003","RÃ©gion de MontrÃ©al, Quebec","Both sexes","All invasive primary cancer sites (including in situ bladder)",526.9
"104","2001/2003","RÃ©gion des Laurentides, Quebec","Both sexes","All invasive primary cancer sites (including in situ bladder)",579.8
"105","2001/2003","RÃ©gion des Terres-Cries-de-la-Baie-James, Quebec","Both sexes","All invasive primary cancer sites (including in situ bladder)",502.8
"106","2001/2003","RÃ©gion du Bas-Saint-Laurent, Quebec","Both sexes","All invasive primary cancer sites (including in situ bladder)",531.8
"107","2001/2003","RÃ©gion du Nord-du-QuÃ©bec, Quebec","Both sexes","All invasive primary cancer sites (including in situ bladder)",645.1
"108","2001/2003","RÃ©gion du Nunavik, Quebec","Both sexes","All invasive primary cancer sites (including in situ bladder)",970.2
"109","2001/2003","RÃ©gion du Saguenay - Lac-Saint-Jean, Quebec","Both sexes","All invasive primary cancer sites (including in situ bladder)",598.6
"110","2001/2003","Regina Qu'Appelle Regional Health Authority, Saskatchewan","Both sexes","All invasive primary cancer sites (including in situ bladder)",541.9
"111","2001/2003","Renfrew County and District Health Unit, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",546.9
"112","2001/2003","Richmond Health Service Delivery Area, British Columbia","Both sexes","All invasive primary cancer sites (including in situ bladder)",429.2
"113","2001/2003","Saskatoon Regional Health Authority, Saskatchewan","Both sexes","All invasive primary cancer sites (including in situ bladder)",517.5
"114","2001/2003","Simcoe Muskoka District Health Unit, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",541.8
"115","2001/2003","South East Health Integration Network, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",528.9
"116","2001/2003","South Vancouver Island Health Service Delivery Area, British Columbia","Both sexes","All invasive primary cancer sites (including in situ bladder)",515.8
"117","2001/2003","South West Health Integration Network, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",529.2
"118","2001/2003","South Zone, Alberta","Both sexes","All invasive primary cancer sites (including in situ bladder)",517.4
"119","2001/2003","Southern Health, Manitoba","Both sexes","All invasive primary cancer sites (including in situ bladder)",503.7
"120","2001/2003","Sudbury and District Health Unit, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",572.7
"121","2001/2003","Sun Country Regional Health Authority, Saskatchewan","Both sexes","All invasive primary cancer sites (including in situ bladder)",551.6
"122","2001/2003","Sunrise Regional Health Authority, Saskatchewan","Both sexes","All invasive primary cancer sites (including in situ bladder)",568.8
"123","2001/2003","Thompson/Cariboo Health Service Delivery Area, British Columbia","Both sexes","All invasive primary cancer sites (including in situ bladder)",523.4
"124","2001/2003","Thunder Bay District Health Unit, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",565.3
"125","2001/2003","Timiskaming Health Unit, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",595.1
"126","2001/2003","Toronto Central Health Integration Network, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",466.4
"127","2001/2003","Vancouver Health Service Delivery Area, British Columbia","Both sexes","All invasive primary cancer sites (including in situ bladder)",452
"128","2001/2003","Waterloo Wellington Health Integration Network, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",487.9
"129","2001/2003","Wellington-Dufferin-Guelph Health Unit, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",510.4
"130","2001/2003","Western Regional Integrated Health Authority, Newfoundland and Labrador","Both sexes","All invasive primary cancer sites (including in situ bladder)",439.2
"131","2001/2003","Windsor-Essex County Health Unit, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",520.6
"132","2001/2003","Winnipeg Regional Health Authority, Manitoba","Both sexes","All invasive primary cancer sites (including in situ bladder)",535
"133","2001/2003","York Regional Health Unit, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",456.9
"134","2001/2003","Yukon","Both sexes","All invasive primary cancer sites (including in situ bladder)",515
"135","2001/2003","Zone 1 - Western, Nova Scotia","Both sexes","All invasive primary cancer sites (including in situ bladder)",556.4
"136","2001/2003","Zone 1 (Moncton area), New Brunswick","Both sexes","All invasive primary cancer sites (including in situ bladder)",535.5
"137","2001/2003","Zone 2 - Northern, Nova Scotia","Both sexes","All invasive primary cancer sites (including in situ bladder)",571.6
"138","2001/2003","Zone 2 (Saint John area), New Brunswick","Both sexes","All invasive primary cancer sites (including in situ bladder)",560.6
"139","2001/2003","Zone 3 - Eastern, Nova Scotia","Both sexes","All invasive primary cancer sites (including in situ bladder)",578.4
"140","2001/2003","Zone 3 (Fredericton area), New Brunswick","Both sexes","All invasive primary cancer sites (including in situ bladder)",548.1
"141","2001/2003","Zone 4 - Central, Nova Scotia","Both sexes","All invasive primary cancer sites (including in situ bladder)",591.1
"142","2001/2003","Zone 4 (Edmundston area), New Brunswick","Both sexes","All invasive primary cancer sites (including in situ bladder)",490.4
"143","2001/2003","Zone 5 (Campbellton area), New Brunswick","Both sexes","All invasive primary cancer sites (including in situ bladder)",568.2
"144","2001/2003","Zone 6 (Bathurst area), New Brunswick","Both sexes","All invasive primary cancer sites (including in situ bladder)",525
"145","2001/2003","Zone 7 (Miramichi area), New Brunswick","Both sexes","All invasive primary cancer sites (including in situ bladder)",508.2
"146","2002/2004","Alberta","Both sexes","All invasive primary cancer sites (including in situ bladder)",539.3
"147","2002/2004","Brant County Health Unit, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",517.1
"148","2002/2004","British Columbia","Both sexes","All invasive primary cancer sites (including in situ bladder)",482.5
"149","2002/2004","Calgary Zone, Alberta","Both sexes","All invasive primary cancer sites (including in situ bladder)",538.5
"152","2002/2004","Central East Health Integration Network, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",493.5
"153","2002/2004","Central Health Integration Network, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",480.5
"154","2002/2004","Central Regional Integrated Health Authority, Newfoundland and Labrador","Both sexes","All invasive primary cancer sites (including in situ bladder)",402.5
"155","2002/2004","Central Vancouver Island Health Service Delivery Area, British Columbia","Both sexes","All invasive primary cancer sites (including in situ bladder)",512.1
"156","2002/2004","Central West Health Integration Network, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",392.7
"157","2002/2004","Central Zone, Alberta","Both sexes","All invasive primary cancer sites (including in situ bladder)",556.8
"158","2002/2004","Champlain Health Integration Network, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",488.5
"159","2002/2004","Chatham-Kent Health Unit, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",534.6
"160","2002/2004","City of Hamilton Health Unit, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",506.4
"161","2002/2004","City of Ottawa Health Unit, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",478.1
"162","2002/2004","City of Toronto Health Unit, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",475.3
"163","2002/2004","Cypress Regional Health Authority, Saskatchewan","Both sexes","All invasive primary cancer sites (including in situ bladder)",493.4
"164","2002/2004","District of Algoma Health Unit, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",504.4
"165","2002/2004","Durham Regional Health Unit, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",537.6
"166","2002/2004","East Kootenay Health Service Delivery Area, British Columbia","Both sexes","All invasive primary cancer sites (including in situ bladder)",453.3
"167","2002/2004","Eastern Ontario Health Unit, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",512.4
"168","2002/2004","Eastern Regional Integrated Health Authority, Newfoundland and Labrador","Both sexes","All invasive primary cancer sites (including in situ bladder)",496.8
"169","2002/2004","Edmonton Zone, Alberta","Both sexes","All invasive primary cancer sites (including in situ bladder)",542.6
"170","2002/2004","Elgin-St. Thomas Health Unit, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",524.5
"171","2002/2004","Fraser East Health Service Delivery Area, British Columbia","Both sexes","All invasive primary cancer sites (including in situ bladder)",494.8
"172","2002/2004","Fraser North Health Service Delivery Area, British Columbia","Both sexes","All invasive primary cancer sites (including in situ bladder)",486.6
"173","2002/2004","Fraser South Health Service Delivery Area, British Columbia","Both sexes","All invasive primary cancer sites (including in situ bladder)",473.6
"174","2002/2004","Grey Bruce Health Unit, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",500.4
"175","2002/2004","Haldimand-Norfolk Health Unit, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",514.9
"176","2002/2004","Haliburton, Kawartha, Pine Ridge District Health Unit, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",514.7
"177","2002/2004","Halton Regional Health Unit, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",503.6
"178","2002/2004","Hamilton Niagara Haldimand Brant Health Integration Network, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",516.4
"179","2002/2004","Hastings and Prince Edward Counties Health Unit, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",507.7
"180","2002/2004","Heartland Regional Health Authority, Saskatchewan","Both sexes","All invasive primary cancer sites (including in situ bladder)",626.9
"181","2002/2004","Huron County Health Unit, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",544.1
"182","2002/2004","Interlake-Eastern Regional Health Authority, Manitoba","Both sexes","All invasive primary cancer sites (including in situ bladder)",573.5
"183","2002/2004","Kelsey Trail Regional Health Authority, Saskatchewan","Both sexes","All invasive primary cancer sites (including in situ bladder)",492
"184","2002/2004","Kingston, Frontenac and Lennox and Addington Health Unit, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",500.8
"185","2002/2004","Kootenay-Boundary Health Service Delivery Area, British Columbia","Both sexes","All invasive primary cancer sites (including in situ bladder)",505.7
"186","2002/2004","Labrador-Grenfell Regional Integrated Health Authority, Newfoundland and Labrador","Both sexes","All invasive primary cancer sites (including in situ bladder)",271.5
"187","2002/2004","Lambton Health Unit, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",543
"188","2002/2004","Leeds, Grenville and Lanark District Health Unit, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",517.3
"189","2002/2004","Mamawetan/Keewatin/Athabasca, Saskatchewan","Both sexes","All invasive primary cancer sites (including in situ bladder)",486
"190","2002/2004","Manitoba","Both sexes","All invasive primary cancer sites (including in situ bladder)",536.6
"191","2002/2004","Mississauga Halton Health Integration Network, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",506.1
"192","2002/2004","New Brunswick","Both sexes","All invasive primary cancer sites (including in situ bladder)",535.1
"193","2002/2004","Newfoundland and Labrador","Both sexes","All invasive primary cancer sites (including in situ bladder)",452.7
"194","2002/2004","Niagara Regional Area Health Unit, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",498.5
"195","2002/2004","North Bay Parry Sound District Health Unit, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",552.2
"196","2002/2004","North East Health Integration Network, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",551.1
"197","2002/2004","North Shore/Coast Garibaldi Health Service Delivery Area, British Columbia","Both sexes","All invasive primary cancer sites (including in situ bladder)",486.8
"198","2002/2004","North Simcoe Muskoka Health Integration Network, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",538.8
"199","2002/2004","North Vancouver Island Health Service Delivery Area, British Columbia","Both sexes","All invasive primary cancer sites (including in situ bladder)",550.5
"200","2002/2004","Northeast Health Service Delivery Area, British Columbia","Both sexes","All invasive primary cancer sites (including in situ bladder)",439.3
"201","2002/2004","Northern Regional Health Authority, Manitoba","Both sexes","All invasive primary cancer sites (including in situ bladder)",552.9
"202","2002/2004","Northwest Territories","Both sexes","All invasive primary cancer sites (including in situ bladder)",589.2
"203","2002/2004","Northwestern Health Unit, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",454.3
"204","2002/2004","Nova Scotia","Both sexes","All invasive primary cancer sites (including in situ bladder)",572.8
"205","2002/2004","Nunavut","Both sexes","All invasive primary cancer sites (including in situ bladder)",712.3
"206","2002/2004","Okanagan Health Service Delivery Area, British Columbia","Both sexes","All invasive primary cancer sites (including in situ bladder)",485
"207","2002/2004","Oxford County Health Unit, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",542.7
"208","2002/2004","Peel Regional Health Unit, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",444.5
"209","2002/2004","Peer group B","Both sexes","All invasive primary cancer sites (including in situ bladder)",528.8
"210","2002/2004","Peer group C","Both sexes","All invasive primary cancer sites (including in situ bladder)",532.4
"211","2002/2004","Peer group D","Both sexes","All invasive primary cancer sites (including in situ bladder)",529
"212","2002/2004","Peer group E","Both sexes","All invasive primary cancer sites (including in situ bladder)",521.9
"213","2002/2004","Peer group E excluding Quebec","Both sexes","All invasive primary cancer sites (including in situ bladder)",515.9
"214","2002/2004","Peer group F","Both sexes","All invasive primary cancer sites (including in situ bladder)",456.5
"215","2002/2004","Peer group F excluding Quebec","Both sexes","All invasive primary cancer sites (including in situ bladder)",435.9
"216","2002/2004","Peer group G","Both sexes","All invasive primary cancer sites (including in situ bladder)",492.9
"217","2002/2004","Peer group G excluding Quebec","Both sexes","All invasive primary cancer sites (including in situ bladder)",469.6
"218","2002/2004","Peer group H","Both sexes","All invasive primary cancer sites (including in situ bladder)",463.8
"219","2002/2004","Peer group I","Both sexes","All invasive primary cancer sites (including in situ bladder)",521.5
"220","2002/2004","Perth District Health Unit, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",509.1
"221","2002/2004","Porcupine Health Unit, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",556.5
"222","2002/2004","Prairie Mountain Health, Manitoba","Both sexes","All invasive primary cancer sites (including in situ bladder)",532.7
"223","2002/2004","Prairie North Regional Health Authority, Saskatchewan","Both sexes","All invasive primary cancer sites (including in situ bladder)",485.1
"224","2002/2004","Prince Albert Parkland Regional Health Authority, Saskatchewan","Both sexes","All invasive primary cancer sites (including in situ bladder)",483.4
"225","2002/2004","Prince Edward Island","Both sexes","All invasive primary cancer sites (including in situ bladder)",584.3
"226","2002/2004","Quebec","Both sexes","All invasive primary cancer sites (including in situ bladder)",547.2
"227","2002/2004","RÃ©gion de l'Abitibi-TÃ©miscamingue, Quebec","Both sexes","All invasive primary cancer sites (including in situ bladder)",544.6
"228","2002/2004","RÃ©gion de l'Estrie, Quebec","Both sexes","All invasive primary cancer sites (including in situ bladder)",540.7
"229","2002/2004","RÃ©gion de l'Outaouais, Quebec","Both sexes","All invasive primary cancer sites (including in situ bladder)",520.1
"230","2002/2004","RÃ©gion de la CÃ´te-Nord, Quebec","Both sexes","All invasive primary cancer sites (including in situ bladder)",600.8
"231","2002/2004","RÃ©gion de la ChaudiÃ¨re-Appalaches, Quebec","Both sexes","All invasive primary cancer sites (including in situ bladder)",548.9
"232","2002/2004","RÃ©gion de la GaspÃ©sie - ÃŽles-de-la-Madeleine, Quebec","Both sexes","All invasive primary cancer sites (including in situ bladder)",583.5
"233","2002/2004","RÃ©gion de la MontÃ©rÃ©gie, Quebec","Both sexes","All invasive primary cancer sites (including in situ bladder)",546.3
"234","2002/2004","RÃ©gion de LanaudiÃ¨re, Quebec","Both sexes","All invasive primary cancer sites (including in situ bladder)",578.6
"235","2002/2004","RÃ©gion de Laval, Quebec","Both sexes","All invasive primary cancer sites (including in situ bladder)",550.7
"236","2002/2004","RÃ©gion de MontrÃ©al, Quebec","Both sexes","All invasive primary cancer sites (including in situ bladder)",528
"237","2002/2004","RÃ©gion des Terres-Cries-de-la-Baie-James, Quebec","Both sexes","All invasive primary cancer sites (including in situ bladder)",468.5
"238","2002/2004","RÃ©gion du Bas-Saint-Laurent, Quebec","Both sexes","All invasive primary cancer sites (including in situ bladder)",537.4
"239","2002/2004","RÃ©gion du Nord-du-QuÃ©bec, Quebec","Both sexes","All invasive primary cancer sites (including in situ bladder)",553.3
