"","ï..REF_DATE","GEO","Sex","All.invasive.primary.cancer.sites..including.in.situ.bladder.","Bronchus.and.lung.cancer..C34.0.C34.9.","Colon..rectum.and.rectosigmoid.junction.cancer..C18.0.C18.9..C19.9..C20.9..C26.0.","Female.breast.cancer..C50.0.C50.9.","Prostate.cancer..C61.9."
"21","2001/2003","Central Regional Integrated Health Authority, Newfoundland and Labrador","Males",473.3,51.2,96.8,NA,132.1
"22","2001/2003","Central Vancouver Island Health Service Delivery Area, British Columbia","Both sexes",521.3,75.3,61,NA,NA
"23","2001/2003","Central Vancouver Island Health Service Delivery Area, British Columbia","Females",476.9,67.1,51.1,140.8,NA
"24","2001/2003","Central Vancouver Island Health Service Delivery Area, British Columbia","Males",581.6,87,72.3,NA,142.6
"25","2001/2003","Central West Health Integration Network, Ontario","Both sexes",394.8,40.1,48.5,NA,NA
"26","2001/2003","Central West Health Integration Network, Ontario","Females",345,27.9,42.8,101.7,NA
"27","2001/2003","Central West Health Integration Network, Ontario","Males",464.3,55.7,55.3,NA,156.5
"28","2001/2003","Central Zone, Alberta","Both sexes",563.9,68.9,71.8,NA,NA
"29","2001/2003","Central Zone, Alberta","Females",480.1,57.1,56.2,138.8,NA
"30","2001/2003","Central Zone, Alberta","Males",672.8,84.3,89.2,NA,218.4
"31","2001/2003","Champlain Health Integration Network, Ontario","Both sexes",499.1,74.8,66.3,NA,NA
"32","2001/2003","Champlain Health Integration Network, Ontario","Females",440.1,60.3,57,135.4,NA
"33","2001/2003","Champlain Health Integration Network, Ontario","Males",583.6,95.5,78.5,NA,176.8
"34","2001/2003","Chatham-Kent Health Unit, Ontario","Both sexes",526.2,72.2,69.3,NA,NA
"35","2001/2003","Chatham-Kent Health Unit, Ontario","Females",452.7,55.4,55,127.6,NA
"36","2001/2003","Chatham-Kent Health Unit, Ontario","Males",636.9,90.4,88.1,NA,195.3
"37","2001/2003","City of Hamilton Health Unit, Ontario","Both sexes",498,68,65.2,NA,NA
"38","2001/2003","City of Hamilton Health Unit, Ontario","Females",449.6,59.9,52.5,134.4,NA
"39","2001/2003","City of Hamilton Health Unit, Ontario","Males",574,80,80.3,NA,145.6
"40","2001/2003","City of Ottawa Health Unit, Ontario","Both sexes",492.2,69.6,64.7,NA,NA
"41","2001/2003","City of Ottawa Health Unit, Ontario","Females",433.5,55,54.4,137.7,NA
"42","2001/2003","City of Ottawa Health Unit, Ontario","Males",579.4,91,79.4,NA,179
"43","2001/2003","City of Toronto Health Unit, Ontario","Both sexes",469.1,53,59.8,NA,NA
"44","2001/2003","City of Toronto Health Unit, Ontario","Females",420.6,39.7,51.2,123.3,NA
"45","2001/2003","City of Toronto Health Unit, Ontario","Males",545.5,70.9,71.5,NA,159.7
"46","2001/2003","Cypress Regional Health Authority, Saskatchewan","Both sexes",518.2,62,67.5,NA,NA
"47","2001/2003","Cypress Regional Health Authority, Saskatchewan","Females",447.3,48.4,59,135.6,NA
"48","2001/2003","Cypress Regional Health Authority, Saskatchewan","Males",613.5,79,77.2,NA,223.2
"49","2001/2003","District of Algoma Health Unit, Ontario","Both sexes",510,78.4,66.1,NA,NA
"50","2001/2003","District of Algoma Health Unit, Ontario","Females",449.4,63.1,57.5,123,NA
"51","2001/2003","District of Algoma Health Unit, Ontario","Males",593.9,99.9,76.2,NA,170.6
"52","2001/2003","Durham Regional Health Unit, Ontario","Both sexes",526.4,68.3,64.1,NA,NA
"53","2001/2003","Durham Regional Health Unit, Ontario","Females",465.8,60,50.5,126.1,NA
"54","2001/2003","Durham Regional Health Unit, Ontario","Males",611.1,80.4,80.8,NA,192
"55","2001/2003","East Kootenay Health Service Delivery Area, British Columbia","Both sexes",442.7,69.8,54.5,NA,NA
"56","2001/2003","East Kootenay Health Service Delivery Area, British Columbia","Females",400.4,62,39.7,123.4,NA
"57","2001/2003","East Kootenay Health Service Delivery Area, British Columbia","Males",500.5,81.1,71.1,NA,132.4
"58","2001/2003","Eastern Ontario Health Unit, Ontario","Both sexes",512.9,90.2,69.2,NA,NA
"59","2001/2003","Eastern Ontario Health Unit, Ontario","Females",443,70.5,64.6,123.6,NA
"60","2001/2003","Eastern Ontario Health Unit, Ontario","Males",607.9,116.9,72.5,NA,175.6
"61","2001/2003","Eastern Regional Integrated Health Authority, Newfoundland and Labrador","Both sexes",503,61,94.3,NA,NA
"62","2001/2003","Eastern Regional Integrated Health Authority, Newfoundland and Labrador","Females",423.6,37.3,79.3,130.7,NA
"63","2001/2003","Eastern Regional Integrated Health Authority, Newfoundland and Labrador","Males",605.4,89.5,113,NA,160.6
"64","2001/2003","Edmonton Zone, Alberta","Both sexes",543.1,71.7,64.5,NA,NA
"65","2001/2003","Edmonton Zone, Alberta","Females",475.6,57.1,53,139.3,NA
"66","2001/2003","Edmonton Zone, Alberta","Males",639.3,92.4,79.7,NA,202
"67","2001/2003","Elgin-St. Thomas Health Unit, Ontario","Both sexes",492.2,72.8,65,NA,NA
"68","2001/2003","Elgin-St. Thomas Health Unit, Ontario","Females",428.2,63.5,55.2,115.5,NA
"69","2001/2003","Elgin-St. Thomas Health Unit, Ontario","Males",581.5,85.4,74.9,NA,149.2
"70","2001/2003","Erie St. Clair Health Integration Network, Ontario","Both sexes",524.8,77.5,68,NA,NA
"71","2001/2003","Erie St. Clair Health Integration Network, Ontario","Females",448.5,63.6,54.5,129.2,NA
"72","2001/2003","Erie St. Clair Health Integration Network, Ontario","Males",638.5,96.4,84.9,NA,193.3
"73","2001/2003","Five Hills Regional Health Authority, Saskatchewan","Both sexes",539.6,73.8,62.3,NA,NA
"74","2001/2003","Five Hills Regional Health Authority, Saskatchewan","Females",476.9,69.6,43,141,NA
"75","2001/2003","Five Hills Regional Health Authority, Saskatchewan","Males",637,81.1,84.3,NA,249.5
"76","2001/2003","Fraser East Health Service Delivery Area, British Columbia","Both sexes",494.7,69.9,52.3,NA,NA
"77","2001/2003","Fraser East Health Service Delivery Area, British Columbia","Females",417.3,57.1,47.2,120.3,NA
"78","2001/2003","Fraser East Health Service Delivery Area, British Columbia","Males",591.6,86.5,58.6,NA,174.9
"79","2001/2003","Fraser North Health Service Delivery Area, British Columbia","Both sexes",496,71.2,61.7,NA,NA
"80","2001/2003","Fraser North Health Service Delivery Area, British Columbia","Females",434.6,64.1,54.6,124.1,NA
"81","2001/2003","Fraser North Health Service Delivery Area, British Columbia","Males",584.7,82.2,71.5,NA,186
"82","2001/2003","Fraser South Health Service Delivery Area, British Columbia","Both sexes",491.8,61.6,60.2,NA,NA
"83","2001/2003","Fraser South Health Service Delivery Area, British Columbia","Females",423.6,56.9,51.7,114.3,NA
"84","2001/2003","Fraser South Health Service Delivery Area, British Columbia","Males",581.1,69,70.6,NA,185.4
"85","2001/2003","Grey Bruce Health Unit, Ontario","Both sexes",505.8,65.2,65.5,NA,NA
"86","2001/2003","Grey Bruce Health Unit, Ontario","Females",435.5,52.9,55.2,127,NA
"87","2001/2003","Grey Bruce Health Unit, Ontario","Males",595.1,81.1,75.7,NA,195.6
"88","2001/2003","Haldimand-Norfolk Health Unit, Ontario","Both sexes",517.7,73.6,66.9,NA,NA
"89","2001/2003","Haldimand-Norfolk Health Unit, Ontario","Females",444.8,54.7,55.5,127.1,NA
"90","2001/2003","Haldimand-Norfolk Health Unit, Ontario","Males",617.9,100.4,80.8,NA,193.2
"91","2001/2003","Haliburton, Kawartha, Pine Ridge District Health Unit, Ontario","Both sexes",510.6,79,64.8,NA,NA
"92","2001/2003","Haliburton, Kawartha, Pine Ridge District Health Unit, Ontario","Females",444.6,67,56.4,114.4,NA
"93","2001/2003","Haliburton, Kawartha, Pine Ridge District Health Unit, Ontario","Males",596.6,95.1,75.8,NA,167.7
"94","2001/2003","Halton Regional Health Unit, Ontario","Both sexes",500.7,54,64.1,NA,NA
"95","2001/2003","Halton Regional Health Unit, Ontario","Females",450.5,45.9,49.3,136.2,NA
"96","2001/2003","Halton Regional Health Unit, Ontario","Males",574.4,66.6,82,NA,182
"97","2001/2003","Hamilton Niagara Haldimand Brant Health Integration Network, Ontario","Both sexes",508.3,67.6,66.8,NA,NA
"98","2001/2003","Hamilton Niagara Haldimand Brant Health Integration Network, Ontario","Females",451.5,57.1,52.6,131.1,NA
"99","2001/2003","Hamilton Niagara Haldimand Brant Health Integration Network, Ontario","Males",592.8,82.8,84.2,NA,166.9
"100","2001/2003","Hastings and Prince Edward Counties Health Unit, Ontario","Both sexes",514.4,89.1,60.7,NA,NA
"101","2001/2003","Hastings and Prince Edward Counties Health Unit, Ontario","Females",472.7,75.8,55.5,125.2,NA
"102","2001/2003","Hastings and Prince Edward Counties Health Unit, Ontario","Males",576.1,107.7,67.1,NA,131.2
"103","2001/2003","Heartland Regional Health Authority, Saskatchewan","Both sexes",607.1,83.1,71.6,NA,NA
"104","2001/2003","Heartland Regional Health Authority, Saskatchewan","Females",506.4,63.3,62.6,139.8,NA
"105","2001/2003","Heartland Regional Health Authority, Saskatchewan","Males",738.2,110,82.6,NA,228.5
"106","2001/2003","Huron County Health Unit, Ontario","Both sexes",570.6,64.7,87.7,NA,NA
"107","2001/2003","Huron County Health Unit, Ontario","Females",527,48.2,68.5,150.7,NA
"108","2001/2003","Huron County Health Unit, Ontario","Males",635.4,84.7,105.6,NA,211.7
"109","2001/2003","Interlake-Eastern Regional Health Authority, Manitoba","Both sexes",580.3,86.7,73,NA,NA
"110","2001/2003","Interlake-Eastern Regional Health Authority, Manitoba","Females",522.1,82.8,58.8,132.4,NA
"111","2001/2003","Interlake-Eastern Regional Health Authority, Manitoba","Males",655.2,93.4,86.9,NA,182
"112","2001/2003","Kelsey Trail Regional Health Authority, Saskatchewan","Both sexes",482.9,68.4,70.4,NA,NA
"113","2001/2003","Kelsey Trail Regional Health Authority, Saskatchewan","Females",392.5,49.7,52.5,106.8,NA
"114","2001/2003","Kelsey Trail Regional Health Authority, Saskatchewan","Males",590.7,91.9,89.4,NA,174.8
"115","2001/2003","Kingston, Frontenac and Lennox and Addington Health Unit, Ontario","Both sexes",514.6,77.7,61.9,NA,NA
"116","2001/2003","Kingston, Frontenac and Lennox and Addington Health Unit, Ontario","Females",465.4,67.6,52.5,144.5,NA
"117","2001/2003","Kingston, Frontenac and Lennox and Addington Health Unit, Ontario","Males",587.5,91.8,73.5,NA,148.8
"118","2001/2003","Kootenay-Boundary Health Service Delivery Area, British Columbia","Both sexes",538.1,75.7,67.8,NA,NA
"119","2001/2003","Kootenay-Boundary Health Service Delivery Area, British Columbia","Females",477,61.9,54.2,137.9,NA
"120","2001/2003","Kootenay-Boundary Health Service Delivery Area, British Columbia","Males",616.9,93.5,81.2,NA,163.2
"121","2001/2003","Labrador-Grenfell Regional Integrated Health Authority, Newfoundland and Labrador","Both sexes",299.8,36.5,51.3,NA,NA
"122","2001/2003","Labrador-Grenfell Regional Integrated Health Authority, Newfoundland and Labrador","Females",305.2,22.9,54.5,88.6,NA
"123","2001/2003","Labrador-Grenfell Regional Integrated Health Authority, Newfoundland and Labrador","Males",295,50.5,51.5,NA,63.8
"124","2001/2003","Lambton Health Unit, Ontario","Both sexes",533.8,82.1,71.8,NA,NA
"125","2001/2003","Lambton Health Unit, Ontario","Females",456.9,70.1,59.5,129.4,NA
"126","2001/2003","Lambton Health Unit, Ontario","Males",647.9,100.1,87.6,NA,183.3
"127","2001/2003","Leeds, Grenville and Lanark District Health Unit, Ontario","Both sexes",537.7,84.5,66.5,NA,NA
"128","2001/2003","Leeds, Grenville and Lanark District Health Unit, Ontario","Females",468.8,67,58.4,136,NA
"129","2001/2003","Leeds, Grenville and Lanark District Health Unit, Ontario","Males",628,107.3,74.8,NA,196.8
"130","2001/2003","Mamawetan/Keewatin/Athabasca, Saskatchewan","Both sexes",511.9,143.2,45.5,NA,NA
"131","2001/2003","Mamawetan/Keewatin/Athabasca, Saskatchewan","Females",449.5,82.9,24.7,163.2,NA
"132","2001/2003","Mamawetan/Keewatin/Athabasca, Saskatchewan","Males",573.1,213,64.4,NA,105.1
"133","2001/2003","Manitoba","Both sexes",538.2,79.7,71.2,NA,NA
"134","2001/2003","Manitoba","Females",482.6,71.6,58,134.4,NA
"135","2001/2003","Manitoba","Males",624.1,92.1,87.7,NA,165.8
"136","2001/2003","Middlesex-London Health Unit, Ontario","Both sexes",537.8,66.5,72.5,NA,NA
"137","2001/2003","Middlesex-London Health Unit, Ontario","Females",459.5,53.8,57.2,132.3,NA
"138","2001/2003","Middlesex-London Health Unit, Ontario","Males",650.4,84.8,92.4,NA,191.2
"139","2001/2003","Mississauga Halton Health Integration Network, Ontario","Both sexes",504.5,55,62.2,NA,NA
"140","2001/2003","Mississauga Halton Health Integration Network, Ontario","Females",450.2,42.9,51,135.4,NA
"141","2001/2003","Mississauga Halton Health Integration Network, Ontario","Males",587,71.2,76.5,NA,180.8
"142","2001/2003","New Brunswick","Both sexes",538.6,89.6,69.2,NA,NA
"143","2001/2003","New Brunswick","Females",455.8,63.5,58.9,128.1,NA
"144","2001/2003","New Brunswick","Males",655.4,125.3,81.5,NA,171
"145","2001/2003","Newfoundland and Labrador","Both sexes",459.3,55.6,85.2,NA,NA
"146","2001/2003","Newfoundland and Labrador","Females",388.9,34.9,71.1,119.8,NA
"147","2001/2003","Newfoundland and Labrador","Males",544.2,79.8,101.7,NA,147.5
"148","2001/2003","Niagara Regional Area Health Unit, Ontario","Both sexes",494.9,64.4,63.1,NA,NA
"149","2001/2003","Niagara Regional Area Health Unit, Ontario","Females",439.6,52.2,48.6,129.3,NA
"150","2001/2003","Niagara Regional Area Health Unit, Ontario","Males",575.4,80.7,80.7,NA,165.3
"151","2001/2003","North Bay Parry Sound District Health Unit, Ontario","Both sexes",560,84.4,85.7,NA,NA
"152","2001/2003","North Bay Parry Sound District Health Unit, Ontario","Females",472.4,73.1,65,118.4,NA
"153","2001/2003","North Bay Parry Sound District Health Unit, Ontario","Males",678.2,103.1,110.1,NA,189.7
"154","2001/2003","North East Health Integration Network, Ontario","Both sexes",554.2,89.2,78.7,NA,NA
"155","2001/2003","North East Health Integration Network, Ontario","Females",470.9,70.3,62.4,120.8,NA
"156","2001/2003","North East Health Integration Network, Ontario","Males",666,114.6,98.9,NA,170.5
"157","2001/2003","North Shore/Coast Garibaldi Health Service Delivery Area, British Columbia","Both sexes",497.3,52.2,57,NA,NA
"158","2001/2003","North Shore/Coast Garibaldi Health Service Delivery Area, British Columbia","Females",435.2,48.5,42.2,130.6,NA
"159","2001/2003","North Shore/Coast Garibaldi Health Service Delivery Area, British Columbia","Males",578.7,56.7,74.4,NA,189.5
"160","2001/2003","North Simcoe Muskoka Health Integration Network, Ontario","Both sexes",547,78.2,68.6,NA,NA
"161","2001/2003","North Simcoe Muskoka Health Integration Network, Ontario","Females",488.6,68.6,58.6,134.2,NA
"162","2001/2003","North Simcoe Muskoka Health Integration Network, Ontario","Males",630,91.7,80.9,NA,185.8
"163","2001/2003","North Vancouver Island Health Service Delivery Area, British Columbia","Both sexes",569.8,80.2,72.4,NA,NA
"164","2001/2003","North Vancouver Island Health Service Delivery Area, British Columbia","Females",479.7,69.7,60.5,126.9,NA
"165","2001/2003","North Vancouver Island Health Service Delivery Area, British Columbia","Males",681.1,94.2,86.2,NA,196.1
"166","2001/2003","North West Health Integration Network, Ontario","Both sexes",535.7,77.9,76.3,NA,NA
"167","2001/2003","North West Health Integration Network, Ontario","Females",471.7,62.9,60.3,133.1,NA
"168","2001/2003","North West Health Integration Network, Ontario","Males",630.2,98.3,96.6,NA,186.2
"169","2001/2003","North Zone, Alberta","Both sexes",537.2,75.8,65.1,NA,NA
"170","2001/2003","North Zone, Alberta","Females",438.7,63.9,47.8,114.2,NA
"171","2001/2003","North Zone, Alberta","Males",645.5,89.3,83.9,NA,211.1
"172","2001/2003","Northeast Health Service Delivery Area, British Columbia","Both sexes",449.3,76.1,56.7,NA,NA
"173","2001/2003","Northeast Health Service Delivery Area, British Columbia","Females",349.2,54.7,46.3,85.6,NA
"174","2001/2003","Northeast Health Service Delivery Area, British Columbia","Males",569.2,101.5,66.2,NA,168.4
"175","2001/2003","Northern Interior Health Service Delivery Area, British Columbia","Both sexes",522.4,88.3,62.8,NA,NA
"176","2001/2003","Northern Interior Health Service Delivery Area, British Columbia","Females",418.9,76.7,44.1,97.3,NA
"177","2001/2003","Northern Interior Health Service Delivery Area, British Columbia","Males",641.3,107,84.1,NA,201.8
"178","2001/2003","Northern Regional Health Authority, Manitoba","Both sexes",575.5,117.7,87.2,NA,NA
"179","2001/2003","Northern Regional Health Authority, Manitoba","Females",509.7,106.9,77.5,115,NA
"180","2001/2003","Northern Regional Health Authority, Manitoba","Males",664,132.2,94.9,NA,166.5
"181","2001/2003","Northwest Health Service Delivery Area, British Columbia","Both sexes",523.3,64.8,74.2,NA,NA
"182","2001/2003","Northwest Health Service Delivery Area, British Columbia","Females",460.5,61.5,61.4,150,NA
"183","2001/2003","Northwest Health Service Delivery Area, British Columbia","Males",602,70.6,85.6,NA,174.6
"184","2001/2003","Northwest Territories","Both sexes",569.5,77.5,129.9,NA,NA
"185","2001/2003","Northwest Territories","Females",590.2,84,104.4,184.7,NA
"186","2001/2003","Northwest Territories","Males",594.2,71.8,188,NA,119.5
"187","2001/2003","Northwestern Health Unit, Ontario","Both sexes",475.6,71.5,78.6,NA,NA
"188","2001/2003","Northwestern Health Unit, Ontario","Females",446.1,54.8,63.2,122.7,NA
"189","2001/2003","Northwestern Health Unit, Ontario","Males",525,93.7,96.3,NA,112.4
"190","2001/2003","Nova Scotia","Both sexes",576.3,90,83.3,NA,NA
"191","2001/2003","Nova Scotia","Females",488.8,69.1,67.9,131,NA
"192","2001/2003","Nova Scotia","Males",698.2,119,103,NA,180.3
"193","2001/2003","Nunavut","Both sexes",819.3,381.9,130.9,NA,NA
"194","2001/2003","Nunavut","Females",846.3,365.9,165.4,17.6,NA
"195","2001/2003","Nunavut","Males",857.6,383.5,105.6,NA,116.2
"196","2001/2003","Okanagan Health Service Delivery Area, British Columbia","Both sexes",489.2,72.9,61.2,NA,NA
"197","2001/2003","Okanagan Health Service Delivery Area, British Columbia","Females",431.2,62.9,50.8,124.1,NA
"198","2001/2003","Okanagan Health Service Delivery Area, British Columbia","Males",559.3,85.8,72.7,NA,151.4
"199","2001/2003","Ontario by Health Unit","Both sexes",498.7,65,64.9,NA,NA
"200","2001/2003","Ontario by Health Unit","Females",441.2,52.4,54.1,127.3,NA
"201","2001/2003","Ontario by Health Unit","Males",582.7,82.1,78.5,NA,171.6
"202","2001/2003","Ontario by Local Health Integration Network","Both sexes",498.7,65,64.9,NA,NA
"203","2001/2003","Ontario by Local Health Integration Network","Females",441.2,52.4,54.1,127.3,NA
"204","2001/2003","Ontario by Local Health Integration Network","Males",582.7,82.1,78.5,NA,171.6
"205","2001/2003","Oxford County Health Unit, Ontario","Both sexes",542.4,57.7,72.8,NA,NA
"206","2001/2003","Oxford County Health Unit, Ontario","Females",484.2,44.5,71.8,133.9,NA
"207","2001/2003","Oxford County Health Unit, Ontario","Males",622.6,74.1,74,NA,214.5
"208","2001/2003","Peel Regional Health Unit, Ontario","Both sexes",438.7,48.3,54.1,NA,NA
"209","2001/2003","Peel Regional Health Unit, Ontario","Females",386,35,44.9,112.7,NA
"210","2001/2003","Peel Regional Health Unit, Ontario","Males",513.7,65.6,65.9,NA,163
"211","2001/2003","Perth District Health Unit, Ontario","Both sexes",509.3,60.1,63.9,NA,NA
"212","2001/2003","Perth District Health Unit, Ontario","Females",466.5,48.8,60.5,143.8,NA
"213","2001/2003","Perth District Health Unit, Ontario","Males",576.4,73,68.8,NA,189
"214","2001/2003","Peterborough County-City Health Unit, Ontario","Both sexes",529.4,74.2,79.9,NA,NA
"215","2001/2003","Peterborough County-City Health Unit, Ontario","Females",484.3,62.6,71.4,133.8,NA
"216","2001/2003","Peterborough County-City Health Unit, Ontario","Males",600.3,91.2,90.7,NA,154.6
"217","2001/2003","Porcupine Health Unit, Ontario","Both sexes",543.7,93.9,73.6,NA,NA
"218","2001/2003","Porcupine Health Unit, Ontario","Females",448.3,66.4,55.1,117.4,NA
"219","2001/2003","Porcupine Health Unit, Ontario","Males",675.5,128.2,98.7,NA,168.7
"220","2001/2003","Prairie Mountain Health, Manitoba","Both sexes",549.1,76.9,79.2,NA,NA
"221","2001/2003","Prairie Mountain Health, Manitoba","Females",500.6,70.9,67.6,134.1,NA
"222","2001/2003","Prairie Mountain Health, Manitoba","Males",621.8,86.6,93.4,NA,167
"223","2001/2003","Prairie North Regional Health Authority, Saskatchewan","Both sexes",485.8,59.1,65.4,NA,NA
"224","2001/2003","Prairie North Regional Health Authority, Saskatchewan","Females",418.4,43.9,43.1,111.2,NA
"225","2001/2003","Prairie North Regional Health Authority, Saskatchewan","Males",561.7,76,87,NA,175.9
"226","2001/2003","Prince Albert Parkland Regional Health Authority, Saskatchewan","Both sexes",477.8,61.9,64.5,NA,NA
"227","2001/2003","Prince Albert Parkland Regional Health Authority, Saskatchewan","Females",447.8,54.9,54.2,135.1,NA
"228","2001/2003","Prince Albert Parkland Regional Health Authority, Saskatchewan","Males",516.4,70.9,76,NA,141.5
"229","2001/2003","Prince Edward Island","Both sexes",579.9,77.4,77.5,NA,NA
"230","2001/2003","Prince Edward Island","Females",488.4,58.5,72.9,133.9,NA
"231","2001/2003","Prince Edward Island","Males",698.9,102.9,83.6,NA,246.7
"232","2001/2003","Quebec","Both sexes",547.8,97.3,74.3,NA,NA
"233","2001/2003","Quebec","Females",477.8,69.8,60.1,134.9,NA
"234","2001/2003","Quebec","Males",663.1,138.7,92.8,NA,137.4
"235","2001/2003","RÃ©gion de l'Abitibi-TÃ©miscamingue, Quebec","Both sexes",580.2,120.2,71.4,NA,NA
"236","2001/2003","RÃ©gion de l'Abitibi-TÃ©miscamingue, Quebec","Females",490,79.8,44.9,128.7,NA
"237","2001/2003","RÃ©gion de l'Abitibi-TÃ©miscamingue, Quebec","Males",706.7,173.5,106.5,NA,140.4
"238","2001/2003","RÃ©gion de l'Estrie, Quebec","Both sexes",539.9,90.7,72.4,NA,NA
"239","2001/2003","RÃ©gion de l'Estrie, Quebec","Females",473.3,67,60,125.4,NA
"240","2001/2003","RÃ©gion de l'Estrie, Quebec","Males",649.1,124.4,90.3,NA,142.7
"241","2001/2003","RÃ©gion de l'Outaouais, Quebec","Both sexes",528.3,111.3,81.5,NA,NA
"242","2001/2003","RÃ©gion de l'Outaouais, Quebec","Females",464.2,84.4,67.5,123.5,NA
"243","2001/2003","RÃ©gion de l'Outaouais, Quebec","Males",628.7,151.2,99,NA,100.8
"244","2001/2003","RÃ©gion de la CÃ´te-Nord, Quebec","Both sexes",592.8,133.5,82,NA,NA
"245","2001/2003","RÃ©gion de la CÃ´te-Nord, Quebec","Females",478.2,89,60,131.5,NA
"246","2001/2003","RÃ©gion de la CÃ´te-Nord, Quebec","Males",734.6,186.3,105,NA,112.1
"247","2001/2003","RÃ©gion de la Capitale-Nationale, Quebec","Both sexes",562.1,95.1,76,NA,NA
"248","2001/2003","RÃ©gion de la Capitale-Nationale, Quebec","Females",484.3,69,61,139.5,NA
"249","2001/2003","RÃ©gion de la Capitale-Nationale, Quebec","Males",694.6,139.6,96.6,NA,159.8
"250","2001/2003","RÃ©gion de la ChaudiÃ¨re-Appalaches, Quebec","Both sexes",541.4,90.2,73.8,NA,NA
"251","2001/2003","RÃ©gion de la ChaudiÃ¨re-Appalaches, Quebec","Females",448.9,55.7,55.7,127.1,NA
"252","2001/2003","RÃ©gion de la ChaudiÃ¨re-Appalaches, Quebec","Males",681.1,139.8,97.6,NA,144.9
"253","2001/2003","RÃ©gion de la GaspÃ©sie - ÃŽles-de-la-Madeleine, Quebec","Both sexes",601.4,116,75.7,NA,NA
"254","2001/2003","RÃ©gion de la GaspÃ©sie - ÃŽles-de-la-Madeleine, Quebec","Females",508.9,63.6,65.7,150,NA
"255","2001/2003","RÃ©gion de la GaspÃ©sie - ÃŽles-de-la-Madeleine, Quebec","Males",725.2,181.1,89.6,NA,111.5
"256","2001/2003","RÃ©gion de la Mauricie et du Centre-du-QuÃ©bec, Quebec","Both sexes",545.4,97.3,72.5,NA,NA
"257","2001/2003","RÃ©gion de la Mauricie et du Centre-du-QuÃ©bec, Quebec","Females",463.2,64.8,60.6,132.5,NA
"258","2001/2003","RÃ©gion de la Mauricie et du Centre-du-QuÃ©bec, Quebec","Males",681.9,147.3,87.8,NA,166
"259","2001/2003","RÃ©gion de la MontÃ©rÃ©gie, Quebec","Both sexes",545.9,92.9,77.9,NA,NA
"260","2001/2003","RÃ©gion de la MontÃ©rÃ©gie, Quebec","Females",476,70.2,64.7,134.9,NA
"261","2001/2003","RÃ©gion de la MontÃ©rÃ©gie, Quebec","Males",656.3,127.6,92.7,NA,143.2
"262","2001/2003","RÃ©gion de LanaudiÃ¨re, Quebec","Both sexes",584,122.3,76.8,NA,NA
"263","2001/2003","RÃ©gion de LanaudiÃ¨re, Quebec","Females",491.1,91.6,60.4,129.7,NA
"264","2001/2003","RÃ©gion de LanaudiÃ¨re, Quebec","Males",723.9,166.9,95.6,NA,149.9
"265","2001/2003","RÃ©gion de Laval, Quebec","Both sexes",545.7,93.8,71.8,NA,NA
"266","2001/2003","RÃ©gion de Laval, Quebec","Females",474.8,68.9,55.3,137.6,NA
"267","2001/2003","RÃ©gion de Laval, Quebec","Males",661.8,131.6,92.8,NA,146.3
"268","2001/2003","RÃ©gion de MontrÃ©al, Quebec","Both sexes",526.9,87.7,69.7,NA,NA
"269","2001/2003","RÃ©gion de MontrÃ©al, Quebec","Females",470,63.9,57.6,132.7,NA
"270","2001/2003","RÃ©gion de MontrÃ©al, Quebec","Males",629.7,124.4,86.4,NA,120.8
