"","ï..REF_DATE","GEO","Sex","Selected.sites.of.cancer..ICD.O.3.","Cancer incidence (age-standardized rate per 100,000 population)"
"34","2001/2003","Hamilton Niagara Haldimand Brant Health Integration Network, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",508.3
"35","2001/2003","Hastings and Prince Edward Counties Health Unit, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",514.4
"37","2001/2003","Huron County Health Unit, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",570.6
"40","2001/2003","Kingston, Frontenac and Lennox and Addington Health Unit, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",514.6
"43","2001/2003","Lambton Health Unit, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",533.8
"44","2001/2003","Leeds, Grenville and Lanark District Health Unit, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",537.7
"47","2001/2003","Middlesex-London Health Unit, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",537.8
"48","2001/2003","Mississauga Halton Health Integration Network, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",504.5
"51","2001/2003","Niagara Regional Area Health Unit, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",494.9
"52","2001/2003","North Bay Parry Sound District Health Unit, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",560
"53","2001/2003","North East Health Integration Network, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",554.2
"55","2001/2003","North Simcoe Muskoka Health Integration Network, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",547
"57","2001/2003","North West Health Integration Network, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",535.7
"64","2001/2003","Northwestern Health Unit, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",475.6
"68","2001/2003","Ontario by Local Health Integration Network","Both sexes","All invasive primary cancer sites (including in situ bladder)",498.7
"69","2001/2003","Oxford County Health Unit, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",542.4
"70","2001/2003","Peel Regional Health Unit, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",438.7
"84","2001/2003","Perth District Health Unit, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",509.3
"85","2001/2003","Peterborough County-City Health Unit, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",529.4
"86","2001/2003","Porcupine Health Unit, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",543.7
"111","2001/2003","Renfrew County and District Health Unit, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",546.9
"114","2001/2003","Simcoe Muskoka District Health Unit, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",541.8
"115","2001/2003","South East Health Integration Network, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",528.9
"117","2001/2003","South West Health Integration Network, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",529.2
"120","2001/2003","Sudbury and District Health Unit, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",572.7
"124","2001/2003","Thunder Bay District Health Unit, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",565.3
"125","2001/2003","Timiskaming Health Unit, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",595.1
"126","2001/2003","Toronto Central Health Integration Network, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",466.4
"128","2001/2003","Waterloo Wellington Health Integration Network, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",487.9
"129","2001/2003","Wellington-Dufferin-Guelph Health Unit, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",510.4
"131","2001/2003","Windsor-Essex County Health Unit, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",520.6
"133","2001/2003","York Regional Health Unit, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",456.9
"147","2002/2004","Brant County Health Unit, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",517.1
"152","2002/2004","Central East Health Integration Network, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",493.5
"153","2002/2004","Central Health Integration Network, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",480.5
"156","2002/2004","Central West Health Integration Network, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",392.7
"158","2002/2004","Champlain Health Integration Network, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",488.5
"159","2002/2004","Chatham-Kent Health Unit, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",534.6
"160","2002/2004","City of Hamilton Health Unit, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",506.4
"161","2002/2004","City of Ottawa Health Unit, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",478.1
"162","2002/2004","City of Toronto Health Unit, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",475.3
"164","2002/2004","District of Algoma Health Unit, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",504.4
"165","2002/2004","Durham Regional Health Unit, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",537.6
"167","2002/2004","Eastern Ontario Health Unit, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",512.4
"170","2002/2004","Elgin-St. Thomas Health Unit, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",524.5
"174","2002/2004","Grey Bruce Health Unit, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",500.4
"175","2002/2004","Haldimand-Norfolk Health Unit, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",514.9
"176","2002/2004","Haliburton, Kawartha, Pine Ridge District Health Unit, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",514.7
"177","2002/2004","Halton Regional Health Unit, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",503.6
"178","2002/2004","Hamilton Niagara Haldimand Brant Health Integration Network, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",516.4
"179","2002/2004","Hastings and Prince Edward Counties Health Unit, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",507.7
"181","2002/2004","Huron County Health Unit, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",544.1
"184","2002/2004","Kingston, Frontenac and Lennox and Addington Health Unit, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",500.8
"187","2002/2004","Lambton Health Unit, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",543
"188","2002/2004","Leeds, Grenville and Lanark District Health Unit, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",517.3
"191","2002/2004","Mississauga Halton Health Integration Network, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",506.1
"194","2002/2004","Niagara Regional Area Health Unit, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",498.5
"195","2002/2004","North Bay Parry Sound District Health Unit, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",552.2
"196","2002/2004","North East Health Integration Network, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",551.1
"198","2002/2004","North Simcoe Muskoka Health Integration Network, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",538.8
"203","2002/2004","Northwestern Health Unit, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",454.3
"207","2002/2004","Oxford County Health Unit, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",542.7
"208","2002/2004","Peel Regional Health Unit, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",444.5
"220","2002/2004","Perth District Health Unit, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",509.1
"221","2002/2004","Porcupine Health Unit, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",556.5
"245","2002/2004","South East Health Integration Network, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",516.2
"247","2002/2004","South West Health Integration Network, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",526.3
"250","2002/2004","Sudbury and District Health Unit, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",566.2
"253","2002/2004","Thunder Bay District Health Unit, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",543.6
"254","2002/2004","Timiskaming Health Unit, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",605.9
"255","2002/2004","Toronto Central Health Integration Network, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",473.3
"257","2002/2004","Waterloo Health Unit, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",487.2
"258","2002/2004","Waterloo Wellington Health Integration Network, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",486.2
"259","2002/2004","Wellington-Dufferin-Guelph Health Unit, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",504.8
"261","2002/2004","Windsor-Essex County Health Unit, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",518.7
"262","2002/2004","York Regional Health Unit, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",463.4
"274","2003/2005","Brant County Health Unit, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",536.1
"278","2003/2005","Central East Health Integration Network, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",504.9
"279","2003/2005","Central Health Integration Network, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",486.3
"281","2003/2005","Central West Health Integration Network, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",401.1
"283","2003/2005","Champlain Health Integration Network, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",496.1
"284","2003/2005","Chatham-Kent Health Unit, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",529.3
"285","2003/2005","City of Hamilton Health Unit, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",520.7
"286","2003/2005","City of Ottawa Health Unit, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",485.4
"287","2003/2005","City of Toronto Health Unit, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",480.6
"289","2003/2005","District of Algoma Health Unit, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",516.3
"291","2003/2005","Eastern Ontario Health Unit, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",528.2
"294","2003/2005","Erie St. Clair Health Integration Network, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",534.8
"298","2003/2005","Grey Bruce Health Unit, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",521.6
"299","2003/2005","Haldimand-Norfolk Health Unit, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",516.7
"300","2003/2005","Hastings and Prince Edward Counties Health Unit, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",496.3
"304","2003/2005","Kingston, Frontenac and Lennox and Addington Health Unit, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",493.6
"306","2003/2005","Lambton Health Unit, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",547.3
"307","2003/2005","Leeds, Grenville and Lanark District Health Unit, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",512.5
"309","2003/2005","Middlesex-London Health Unit, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",553.7
"310","2003/2005","Mississauga Halton Health Integration Network, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",522.3
"313","2003/2005","North Bay Parry Sound District Health Unit, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",543.9
"314","2003/2005","North East Health Integration Network, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",544.8
"315","2003/2005","North Simcoe Muskoka Health Integration Network, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",533.5
"321","2003/2005","Northwestern Health Unit, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",462.3
"325","2003/2005","Ontario by Local Health Integration Network","Both sexes","All invasive primary cancer sites (including in situ bladder)",506.3
"326","2003/2005","Oxford County Health Unit, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",540.4
"327","2003/2005","Peel Regional Health Unit, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",457.8
"341","2003/2005","Perth District Health Unit, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",519.6
"342","2003/2005","Peterborough County-City Health Unit, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",513.9
"361","2003/2005","Renfrew County and District Health Unit, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",538.9
"365","2003/2005","Simcoe Muskoka District Health Unit, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",532
"366","2003/2005","South East Health Integration Network, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",509
"368","2003/2005","South West Health Integration Network, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",541.3
"371","2003/2005","Sudbury and District Health Unit, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",547.6
"374","2003/2005","Thunder Bay District Health Unit, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",574.6
"375","2003/2005","Timiskaming Health Unit, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",578
"376","2003/2005","Toronto Central Health Integration Network, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",475.7
"378","2003/2005","Waterloo Health Unit, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",490.3
"379","2003/2005","Waterloo Wellington Health Integration Network, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",491.1
"381","2003/2005","Windsor-Essex County Health Unit, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",531.3
"382","2003/2005","York Regional Health Unit, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",470.1
"392","2004/2006","Brant County Health Unit, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",551.2
"395","2004/2006","Central East Health Integration Network, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",509.8
"397","2004/2006","Central West Health Integration Network, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",401.2
"398","2004/2006","Champlain Health Integration Network, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",492.3
"399","2004/2006","Chatham-Kent Health Unit, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",535.8
"400","2004/2006","City of Ottawa Health Unit, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",480.8
"402","2004/2006","District of Algoma Health Unit, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",534.5
"403","2004/2006","Durham Regional Health Unit, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",557.6
"407","2004/2006","Elgin-St. Thomas Health Unit, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",551.9
"412","2004/2006","Grey Bruce Health Unit, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",522
"413","2004/2006","Haliburton, Kawartha, Pine Ridge District Health Unit, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",527.1
"414","2004/2006","Halton Regional Health Unit, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",519.9
"415","2004/2006","Hastings and Prince Edward Counties Health Unit, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",490.5
"418","2004/2006","Kingston, Frontenac and Lennox and Addington Health Unit, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",496.9
"421","2004/2006","Lambton Health Unit, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",555.2
"422","2004/2006","Leeds, Grenville and Lanark District Health Unit, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",516
"424","2004/2006","Middlesex-London Health Unit, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",558.6
"425","2004/2006","Mississauga Halton Health Integration Network, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",522.6
"427","2004/2006","Niagara Regional Area Health Unit, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",530.5
"428","2004/2006","North East Health Integration Network, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",541.6
"433","2004/2006","Northwestern Health Unit, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",442.9
"437","2004/2006","Peel Regional Health Unit, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",459.7
"448","2004/2006","Porcupine Health Unit, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",565.6
"468","2004/2006","Simcoe Muskoka District Health Unit, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",524.2
"469","2004/2006","South East Health Integration Network, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",509.2
"471","2004/2006","South West Health Integration Network, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",545.3
"476","2004/2006","Thunder Bay District Health Unit, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",578.2
"477","2004/2006","Timiskaming Health Unit, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",567.4
"478","2004/2006","Toronto Central Health Integration Network, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",483.3
"480","2004/2006","Waterloo Health Unit, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",498.4
"481","2004/2006","Waterloo Wellington Health Integration Network, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",497.2
"482","2004/2006","Wellington-Dufferin-Guelph Health Unit, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",505.4
"484","2004/2006","York Regional Health Unit, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",471
"493","2005/2007","Central East Health Integration Network, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",508.6
"496","2005/2007","Central West Health Integration Network, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",407.3
"497","2005/2007","Champlain Health Integration Network, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",497.1
"498","2005/2007","Chatham-Kent Health Unit, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",537.9
"499","2005/2007","City of Ottawa Health Unit, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",487
"500","2005/2007","City of Toronto Health Unit, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",487.7
"502","2005/2007","District of Algoma Health Unit, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",540.8
"507","2005/2007","Grey Bruce Health Unit, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",502.3
"508","2005/2007","Haldimand-Norfolk Health Unit, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",534.7
"509","2005/2007","Hamilton Niagara Haldimand Brant Health Integration Network, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",549.2
"510","2005/2007","Hastings and Prince Edward Counties Health Unit, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",508.5
"511","2005/2007","Huron County Health Unit, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",555.6
"515","2005/2007","Leeds, Grenville and Lanark District Health Unit, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",519.8
"517","2005/2007","Niagara Regional Area Health Unit, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",536.8
"518","2005/2007","North East Health Integration Network, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",541
"525","2005/2007","Northwestern Health Unit, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",441.4
"529","2005/2007","Ontario by Local Health Integration Network","Both sexes","All invasive primary cancer sites (including in situ bladder)",511.6
"530","2005/2007","Oxford County Health Unit, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",546
"531","2005/2007","Peel Regional Health Unit, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",461.4
"543","2005/2007","Perth District Health Unit, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",511.5
"544","2005/2007","Peterborough County-City Health Unit, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",530.1
"545","2005/2007","Porcupine Health Unit, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",546.2
"566","2005/2007","South West Health Integration Network, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",540.9
"568","2005/2007","Thunder Bay District Health Unit, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",600.1
"569","2005/2007","Timiskaming Health Unit, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",545.2
"570","2005/2007","Toronto Central Health Integration Network, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",484.4
"572","2005/2007","Waterloo Health Unit, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",504.3
"573","2005/2007","Wellington-Dufferin-Guelph Health Unit, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",511.4
"575","2005/2007","Windsor-Essex County Health Unit, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",526
"576","2005/2007","York Regional Health Unit, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",478.7
"588","2006/2008","Brant County Health Unit, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",561.1
"592","2006/2008","Central East Health Integration Network, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",496.7
"593","2006/2008","Central Health Integration Network, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",481.8
"595","2006/2008","Central West Health Integration Network, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",413.3
"596","2006/2008","Champlain Health Integration Network, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",491.4
"597","2006/2008","City of Ottawa Health Unit, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",482.1
"598","2006/2008","District of Algoma Health Unit, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",529.7
"602","2006/2008","Erie St. Clair Health Integration Network, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",533.1
"604","2006/2008","Grey Bruce Health Unit, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",481.2
"605","2006/2008","Haliburton, Kawartha, Pine Ridge District Health Unit, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",528.6
"606","2006/2008","Hamilton Niagara Haldimand Brant Health Integration Network, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",544.4
"608","2006/2008","Huron County Health Unit, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",552.1
"610","2006/2008","Kingston, Frontenac and Lennox and Addington Health Unit, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",501.9
"613","2006/2008","Leeds, Grenville and Lanark District Health Unit, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",513.2
"617","2006/2008","North East Health Integration Network, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",531.4
"618","2006/2008","North Simcoe Muskoka Health Integration Network, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",522.8
"619","2006/2008","North West Health Integration Network, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",516.8
"620","2006/2008","Northwestern Health Unit, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",400.8
"622","2006/2008","Peel Regional Health Unit, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",454.6
"635","2006/2008","Perth District Health Unit, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",499.7
"636","2006/2008","Porcupine Health Unit, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",530.3
"655","2006/2008","South East Health Integration Network, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",511.1
"656","2006/2008","South West Health Integration Network, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",527.7
"659","2006/2008","Sudbury and District Health Unit, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",530
"662","2006/2008","Thunder Bay District Health Unit, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",572
"663","2006/2008","Timiskaming Health Unit, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",547.9
"664","2006/2008","Toronto Central Health Integration Network, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",480.9
"666","2006/2008","Waterloo Health Unit, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",497.7
"667","2006/2008","Waterloo Wellington Health Integration Network, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",493.7
"669","2006/2008","Windsor-Essex County Health Unit, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",534.2
"670","2006/2008","York Regional Health Unit, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",473.1
"682","2007/2009","Central West Health Integration Network, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",418.8
"683","2007/2009","Chatham-Kent Health Unit, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",535.9
"684","2007/2009","City of Ottawa Health Unit, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",483.8
"686","2007/2009","Durham Regional Health Unit, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",529.1
"690","2007/2009","Grey Bruce Health Unit, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",495.1
"691","2007/2009","Hamilton Niagara Haldimand Brant Health Integration Network, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",547.5
"692","2007/2009","Hastings and Prince Edward Counties Health Unit, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",510.3
"693","2007/2009","Huron County Health Unit, Ontario","Both sexes","All invasive primary cancer sites (including in situ bladder)",537.5
